z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,
3.51011657715,3.48040771484,3.27897644043,3.29859924316,3.19039916992,1.98428344727,1.21771240234,1.20397949219,1.2326965332,2.01454162598,3.00730895996,2.93176269531,3.10122680664,2.68688964844,2.97601318359,3.33276367188,
3.51011657715,3.48040771484,3.27897644043,3.29859924316,3.19039916992,1.98428344727,1.21771240234,1.20397949219,1.2326965332,2.01454162598,3.00730895996,2.93176269531,3.10122680664,2.68688964844,2.97601318359,3.33276367188,
3.50820922852,3.47958374023,3.27807617188,3.29698181152,3.18983459473,1.98793029785,1.21801757812,1.20442199707,1.22911071777,1.98098754883,2.81591796875,3.04399108887,3.09915161133,2.68988037109,2.97450256348,3.32366943359,
3.50820922852,3.47958374023,3.27807617188,3.29698181152,3.18983459473,1.98793029785,1.21801757812,1.20442199707,1.22911071777,1.98098754883,2.81591796875,3.04399108887,3.09915161133,2.68988037109,2.97450256348,3.32366943359,
3.50820922852,3.47958374023,3.27807617188,3.29698181152,3.18983459473,1.98793029785,1.21801757812,1.20442199707,1.22911071777,1.98098754883,2.81591796875,3.04399108887,3.09915161133,2.68988037109,2.97450256348,3.32366943359,
3.50852966309,3.4790802002,3.27728271484,3.29692077637,3.18902587891,1.98860168457,1.2177734375,1.20492553711,1.22686767578,1.78952026367,3.20906066895,3.12945556641,3.11259460449,2.69407653809,2.97380065918,3.32849121094,
3.50852966309,3.4790802002,3.27728271484,3.29692077637,3.18902587891,1.98860168457,1.2177734375,1.20492553711,1.22686767578,1.78952026367,3.20906066895,3.12945556641,3.11259460449,2.69407653809,2.97380065918,3.32849121094,
3.50852966309,3.4790802002,3.27728271484,3.29692077637,3.18902587891,1.98860168457,1.2177734375,1.20492553711,1.22686767578,1.78952026367,3.20906066895,3.12945556641,3.11259460449,2.69407653809,2.97380065918,3.32849121094,
3.50852966309,3.4790802002,3.27728271484,3.29692077637,3.18902587891,1.98860168457,1.2177734375,1.20492553711,1.22686767578,1.78952026367,3.20906066895,3.12945556641,3.11259460449,2.69407653809,2.97380065918,3.32849121094,
3.50852966309,3.4790802002,3.27728271484,3.29692077637,3.18902587891,1.98860168457,1.2177734375,1.20492553711,1.22686767578,1.78952026367,3.20906066895,3.12945556641,3.11259460449,2.69407653809,2.97380065918,3.32849121094,
3.50852966309,3.4790802002,3.27728271484,3.29692077637,3.18902587891,1.98860168457,1.2177734375,1.20492553711,1.22686767578,1.78952026367,3.20906066895,3.12945556641,3.11259460449,2.69407653809,2.97380065918,3.32849121094,
3.50852966309,3.4790802002,3.27728271484,3.29692077637,3.18902587891,1.98860168457,1.2177734375,1.20492553711,1.22686767578,1.78952026367,3.20906066895,3.12945556641,3.11259460449,2.69407653809,2.97380065918,3.32849121094,
3.50860595703,3.47929382324,3.27844238281,3.29649353027,3.18957519531,1.98286437988,1.21878051758,1.20649719238,1.2359161377,1.98957824707,3.22978210449,3.12763977051,3.11410522461,2.69429016113,2.97422790527,3.32986450195,
3.50860595703,3.47929382324,3.27844238281,3.29649353027,3.18957519531,1.98286437988,1.21878051758,1.20649719238,1.2359161377,1.98957824707,3.22978210449,3.12763977051,3.11410522461,2.69429016113,2.97422790527,3.32986450195,
3.50860595703,3.47929382324,3.27844238281,3.29649353027,3.18957519531,1.98286437988,1.21878051758,1.20649719238,1.2359161377,1.98957824707,3.22978210449,3.12763977051,3.11410522461,2.69429016113,2.97422790527,3.32986450195,
3.50860595703,3.47929382324,3.27844238281,3.29649353027,3.18957519531,1.98286437988,1.21878051758,1.20649719238,1.2359161377,1.98957824707,3.22978210449,3.12763977051,3.11410522461,2.69429016113,2.97422790527,3.32986450195,
3.50860595703,3.47929382324,3.27844238281,3.29649353027,3.18957519531,1.98286437988,1.21878051758,1.20649719238,1.2359161377,1.98957824707,3.22978210449,3.12763977051,3.11410522461,2.69429016113,2.97422790527,3.32986450195,
3.50942993164,3.47898864746,3.27847290039,3.29747009277,3.18965148926,1.98777770996,1.22546386719,1.20545959473,1.23262023926,1.99214172363,3.23123168945,3.12838745117,3.11477661133,2.6951751709,2.97370910645,3.32897949219,
3.50942993164,3.47898864746,3.27847290039,3.29747009277,3.18965148926,1.98777770996,1.22546386719,1.20545959473,1.23262023926,1.99214172363,3.23123168945,3.12838745117,3.11477661133,2.6951751709,2.97370910645,3.32897949219,
3.50942993164,3.47898864746,3.27847290039,3.29747009277,3.18965148926,1.98777770996,1.22546386719,1.20545959473,1.23262023926,1.99214172363,3.23123168945,3.12838745117,3.11477661133,2.6951751709,2.97370910645,3.32897949219,
3.50942993164,3.47898864746,3.27847290039,3.29747009277,3.18965148926,1.98777770996,1.22546386719,1.20545959473,1.23262023926,1.99214172363,3.23123168945,3.12838745117,3.11477661133,2.6951751709,2.97370910645,3.32897949219,
3.50975036621,3.47888183594,3.27885437012,3.29739379883,3.19013977051,1.94989013672,1.22956848145,1.19920349121,1.23321533203,2.00598144531,3.23040771484,3.12738037109,3.11419677734,2.69541931152,2.97445678711,3.32752990723,
3.50975036621,3.47888183594,3.27885437012,3.29739379883,3.19013977051,1.94989013672,1.22956848145,1.19920349121,1.23321533203,2.00598144531,3.23040771484,3.12738037109,3.11419677734,2.69541931152,2.97445678711,3.32752990723,
3.50975036621,3.47888183594,3.27885437012,3.29739379883,3.19013977051,1.94989013672,1.22956848145,1.19920349121,1.23321533203,2.00598144531,3.23040771484,3.12738037109,3.11419677734,2.69541931152,2.97445678711,3.32752990723,
